#f_in_Hz  a_in_micros b_in_ms U_in_mV
10  680  100  940
20  720  50  960
30  740  33  980
40  740  25  960
50  760  20  940
60  740  16.72 940
70  724  14.32  920
80  708  12.4 900
90  700  11.2  880
100  684  10  860
200  640  4.98  700
300  520  3.32  540
400  432  2.5  432
500  384  1.98  360
600  328  1.66  312
700  288  1.44  272
800  264  1.24  240
900  232  1.13  216
1000  216  0.992  188
2000  116  0.500  96
3000  80  0.332  64.4
4000  60  0.250  48.8
5000  47  0.200  39.2
6000  37  0.167  32.8
7000  33  0.142  27.6
8000  33  0.125  24.0
9000  27  0.111  31.6
10000  25  0.100 19.2
