#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

8.0	18.0 
8.4	18.0
8.8	19.0
9.2	19.0
9.6	21.0
10.0	25.0
10.4	31.0
10.8	39.0
11.2	45.0
11.6	49.0
12.0	60.0
12.4	60.0
12.8	67.0
13.2	86.0
13.6	87.0
14.0	100.0
14.4	99.0
14.8	101.0
15.2	112.0
15.6	119.0
16.0	126.0
16.4	122.0
16.7	131.0
17.2	131.0
17.6	142.0
18.0	134.0
18.4	150.0
18.8	155.0
19.2	156.0
19.6	159.0
20.0	166.0
20.4	154.0
20.8	163.0
21.2	158.0
21.6	155.0
22.0	162.0
22.4	141.0
22.8	165.0
23.2	152.0
23.6	143.0
24.0	137.0
24.4	163.0
24.8	156.0
25.2	149.0
25.6	140.0
26.0	145.0
26.4	115.0
26.8	108.0
27.2	109.0
27.6	108.0
28.0	114.0
28.4	108.0
28.8	107.0
29.2	107.0
29.6	104.0
30.0	104.0
30.4	104.0
30.8	97.0
31.2	98.0
31.6	85.0
32.0	88.0
32.4	95.0
32.8	93.0
33.2	81.0
33.6	85.0
34.0	81.0
34.4	85.0
34.8	84.0
35.2	88.0
35.5	79.0
36.0	73.0
36.4	68.0
36.8	70.0
37.2	75.0
37.5	79.0
38.0	74.0
38.4	74.0
38.8	75.0
39.2	80.0
39.5	136.0
40.0	960.0
40.4	485.0
40.8	127.0
41.2	105.0
41.5	85.0
42.0	84.0
42.4	79.0
42.8	83.0
43.2	77.0
43.6	108.0
44.0	198.0
44.4	3314.0
44.8	2555.0
45.2	386.0
45.5	111.0
46.0	76.0
46.4	61.0
46.8	59.0
47.2	54.0
47.6	56.0
48.0	57.0
48.4	50.0
48.8	46.0
49.2	45.0
49.6	45.0
50.0	43.0
50.4	40.0
50.8	35.0
51.2	39.0
51.6	41.0
52.0	36.0
